Spielname,Genre,Minispiel,Optionalität,UI - Transformation,Belohnungen,Einfluss Minispiel - Belohnung auf Hauptspiel,Auftreten,Wiederholung,Retry,Komplexität,Veränderung der Schwierigkeit,Einsatz,Geforderte(r) Skill(s),Abbruchbarkeit,Unterbricht Hauptspielfluss,Räumliche Einschränkung,Timer,Cooldown
Paper Mario the Thousand Year Door,RPG,Matching Game,ja,leicht,spielwährung,ja,einmalig,ja,ja,gering,konstant,ja,"glück, timing",nein,ja,ja,nein,nein
Paper Mario the Thousand Year Door,RPG,Plane Game,ja,leicht,spielwährung,ja,einmalig,ja,ja,mittel,konstant,ja,geschicklichkeit,nein,ja,ja,nein,nein
Paper Mario the Thousand Year Door,RPG,Paper Game,ja,leicht,spielwährung,ja,einmalig,ja,ja,gering,konstant,ja,geschicklichkeit,nein,ja,ja,ja,nein
Paper Mario the Thousand Year Door,RPG,Tube Game,ja,mittel,spielwährung,ja,einmalig,ja,ja,gering,konstant,ja,geschicklichkeit,nein,ja,ja,ja,nein
Paper Mario the Thousand Year Door,RPG,Boat Game,ja,mittel,spielwährung,ja,einmalig,ja,ja,mittel,konstant,ja,geschicklichkeit,nein,ja,ja,ja,nein
Paper Mario 2 Remake,RPG,Slots,ja,mittel,"Verkäufliche/eintauschbare Items, spielwährung",ja,einmalig,ja,nein,gering,konstant,ja,timing,nein,ja,ja,nein,nein
Paper Mario 2 Remake,RPG,Plane Game,ja,leicht,"Verkäufliche/eintauschbare Items, spielwährung",ja,einmalig,ja,nein,gering,konstant,nein,geschicklichkeit,nein,ja,ja,nein,nein
Paper Mario 2 Remake,RPG,Paper Game,ja,leicht,"Verkäufliche/eintauschbare Items, spielwährung",ja,einmalig,ja,nein,gering,konstant,nein,geschicklichkeit,nein,ja,ja,nein,nein
Paper Mario 2 Remake,RPG,Tube Game,ja,leicht,"Verkäufliche/eintauschbare Items, spielwährung",ja,einmalig,ja,nein,gering,konstant,nein,geschicklichkeit,nein,ja,ja,nein,nein
Paper Mario 2 Remake,RPG,Boat Game,ja,leicht,"Verkäufliche/eintauschbare Items, spielwährung",ja,einmalig,ja,nein,gering,konstant,nein,geschicklichkeit,nein,ja,ja,nein,nein
Persona 3 Portable,"Rollenspiel, Komplexe Handlung, JRPG",Shuffle Time,nein,stark,Verkäufliche/eintauschbare Items,ja,häufig,nein,nein,gering,konstant,nein,glück,nein,ja,nein,nein,nein
Persona 4,"Abenteuer, JRPG",Fishing,ja,leicht,ressourcen,ja,einmalig,ja,nein,gering,minispiel_situativ,ja,timing,ja,ja,ja,nein,ja
Persona 5 Royal,"JRPG, Komplexe Handlung, JRPG",Batting Cage,ja,mittel,"ressourcen, upgrades",ja,einmalig,ja,nein,gering,minispiel_schwieriger,ja,timing,nein,ja,ja,nein,ja
Persona 5 Royal,"JRPG, Komplexe Handlung, JRPG",Crossword Puzzles,ja,stark,upgrades,ja,einmalig,ja,nein,gering,kontext_situativ,ja,wissen,nein,ja,ja,nein,ja
